Date,Ligne,Heure_Départ,Heure_Arrivée,Passagers,Capacité,Carburant_L,Distance_km,Panne,Retard,Plaintes,Remplissage (%),Consommation_par_km,Emissions_CO2_kg,Météo,Type_Voiture,Vacances,Week-end,Heure_Pointe,Dépenses_Maintenance,Satisfaction_Client
2024-01-25,Andavamamba – Ivato,19:30,20:10,11,25,16.7,20,Non,Non,1,44.0,0.83,44.8,Vent fort,7 places,Non,Non,Oui,10853.88,4
2024-01-26,Analakely – Ankatso,19:00,19:42,11,25,9.2,16,Non,Non,1,44.0,0.57,24.7,Orage,5 places,Oui,Non,Oui,25463.29,4
2024-01-27,Ankorondrano – Itaosy,17:45,18:34,18,35,8.4,15,Non,Non,1,51.4,0.56,22.5,Pluie,5 places,Oui,Non,Non,42891.5,1
2024-01-28,Ambohijatovo – Anosizato,16:00,17:28,24,25,16.6,19,Non,Oui,4,96.0,0.87,44.5,Brouillard,5 places,Oui,Non,Non,31040.39,4
2024-01-29,Ambohijatovo – Anosizato,16:30,17:41,6,25,11.7,14,Oui,Non,1,24.0,0.84,31.4,Pluie,12 places,Oui,Non,Non,23186.31,1
2024-01-30,Ankorondrano – Itaosy,12:15,12:51,28,35,10.7,15,Non,Oui,4,80.0,0.71,28.7,Soleil,5 places,Oui,Non,Oui,15263.59,5
2024-01-31,Mahamasina – 67Ha,18:15,18:50,15,30,17.3,13,Non,Non,1,50.0,1.33,46.4,Orage,9 places,Oui,Non,Non,46716.55,4
2024-02-01,Ambohijatovo – Anosizato,17:30,18:29,8,40,13.1,18,Non,Oui,4,20.0,0.73,35.1,Soleil,5 places,Non,Non,Oui,44193.61,4
2024-02-02,Ambohijatovo – Anosizato,11:00,12:21,11,40,17.5,14,Non,Non,1,27.5,1.25,46.9,Soleil,12 places,Oui,Non,Oui,6379.36,5
2024-02-03,Mahamasina – 67Ha,12:30,13:57,11,35,14.9,18,Non,Non,1,31.4,0.83,39.9,Orage,7 places,Oui,Oui,Non,39246.08,1
2024-02-04,Andavamamba – Ivato,16:15,16:51,30,35,14.3,13,Non,Non,1,85.7,1.1,38.3,Orage,7 places,Oui,Oui,Non,49835.03,5
2024-02-05,Andavamamba – Ivato,12:45,14:13,7,40,14.4,12,Non,Non,0,17.5,1.2,38.6,Soleil,5 places,Oui,Non,Oui,36804.97,4
2024-02-06,Analakely – Ankatso,14:00,14:59,8,25,13.7,15,Non,Non,1,32.0,0.91,36.7,Vent fort,9 places,Non,Non,Non,19985.09,5
2024-02-07,Mahamasina – 67Ha,19:00,20:10,13,30,13.3,14,Non,Oui,4,43.3,0.95,35.6,Soleil,5 places,Oui,Oui,Oui,48641.95,3
2024-02-08,Analakely – Ankatso,14:30,15:11,33,35,15.8,19,Non,Oui,2,94.3,0.83,42.3,Vent fort,5 places,Non,Non,Non,44016.42,2
2024-02-09,Ankorondrano – Itaosy,17:00,18:24,26,30,16.0,14,Non,Oui,0,86.7,1.14,42.9,Vent fort,9 places,Non,Non,Oui,47507.64,1
2024-02-10,Andavamamba – Ivato,17:00,17:48,15,25,13.2,18,Non,Oui,4,60.0,0.73,35.4,Vent fort,7 places,Non,Non,Non,19227.02,5
2024-02-11,Analakely – Ankatso,20:15,21:34,24,25,11.5,15,Non,Non,1,96.0,0.77,30.8,Soleil,12 places,Oui,Non,Oui,22662.21,5
2024-02-01,Andavamamba – Ivato,14:00,15:00,21,30,8.1,15,Non,Non,1,70.0,0.54,21.7,Pluie,5 places,Oui,Non,Oui,32000.92,5
2024-02-02,Ambohijatovo – Anosizato,10:45,11:20,34,35,10.0,15,Non,Non,0,97.1,0.67,26.8,Vent fort,5 places,Oui,Oui,Oui,26622.81,2
2024-02-03,Mahamasina – 67Ha,17:30,18:34,34,40,10.0,19,Oui,Oui,4,85.0,0.53,26.8,Orage,12 places,Non,Non,Oui,37291.9,4
2024-02-04,Mahamasina – 67Ha,15:30,16:17,19,30,12.4,10,Non,Non,1,63.3,1.24,33.2,Soleil,5 places,Non,Non,Oui,43850.01,3
2024-02-05,Mahamasina – 67Ha,17:45,18:43,5,40,8.4,11,Non,Oui,1,12.5,0.76,22.5,Brouillard,9 places,Oui,Oui,Non,44183.75,1
2024-02-06,Analakely – Ankatso,09:00,09:33,21,35,8.9,12,Non,Non,0,60.0,0.74,23.9,Brouillard,12 places,Non,Oui,Oui,13195.31,4
2024-02-07,Ankorondrano – Itaosy,13:15,14:21,23,30,8.0,13,Non,Non,1,76.7,0.62,21.4,Vent fort,12 places,Non,Oui,Oui,29112.25,1
2024-02-08,Andavamamba – Ivato,14:45,15:15,15,35,13.4,19,Non,Oui,0,42.9,0.71,35.9,Orage,7 places,Oui,Oui,Oui,49444.23,4
2024-02-09,Mahamasina – 67Ha,08:15,08:49,25,25,17.0,10,Non,Non,1,100.0,1.7,45.6,Vent fort,5 places,Non,Non,Oui,25354.32,1
2024-02-10,Mahamasina – 67Ha,10:45,11:58,20,35,12.1,16,Non,Oui,4,57.1,0.76,32.4,Brouillard,12 places,Non,Non,Non,42446.04,4
2024-02-11,Ambohijatovo – Anosizato,10:00,11:21,30,35,11.8,15,Non,Oui,3,85.7,0.79,31.6,Pluie,5 places,Non,Non,Oui,48972.84,2
2024-02-12,Mahamasina – 67Ha,07:00,07:53,22,35,17.2,17,Non,Non,0,62.9,1.01,46.1,Orage,7 places,Oui,Oui,Oui,31027.41,5
2024-02-13,Ankorondrano – Itaosy,17:15,18:05,6,25,16.4,17,Non,Non,0,24.0,0.96,44.0,Brouillard,5 places,Oui,Non,Oui,49450.35,1
2024-02-14,Andavamamba – Ivato,17:00,17:48,15,25,13.2,18,Non,Oui,4,60.0,0.73,35.4,Vent fort,7 places,Non,Non,Non,19227.02,5
2024-02-15,Ankorondrano – Itaosy,05:45,06:55,24,30,10.9,13,Non,Oui,0,80.0,0.84,29.2,Brouillard,12 places,Oui,Non,Non,34553.15,5
2024-02-16,Andavamamba – Ivato,15:30,17:00,5,30,17.1,11,Non,Non,1,16.7,1.55,45.8,Orage,12 places,Oui,Oui,Oui,34641.85,2
2024-02-17,Andavamamba – Ivato,09:45,10:30,27,30,10.9,11,Oui,Oui,2,90.0,0.99,29.2,Vent fort,9 places,Oui,Non,Non,47462.72,4
2024-02-18,Andavamamba – Ivato,19:15,19:56,5,40,17.6,12,Oui,Non,1,12.5,1.47,47.2,Brouillard,9 places,Oui,Oui,Non,14479.8,5
2024-02-19,Andavamamba – Ivato,09:15,10:44,32,35,12.2,10,Oui,Non,1,91.4,1.22,32.7,Soleil,7 places,Oui,Non,Oui,16595.73,1
2024-02-20,Mahamasina – 67Ha,13:15,14:22,15,30,12.1,19,Non,Non,1,50.0,0.64,32.4,Brouillard,5 places,Oui,Non,Oui,15689.45,3
2024-02-21,Mahamasina – 67Ha,13:45,14:18,14,30,9.1,13,Non,Non,0,46.7,0.7,24.4,Pluie,9 places,Oui,Oui,Oui,24363.77,5
2024-02-22,Andavamamba – Ivato,09:00,10:07,17,25,12.8,14,Non,Oui,4,68.0,0.91,34.3,Brouillard,9 places,Non,Non,Non,5995.56,4
2024-02-23,Andavamamba – Ivato,12:45,14:12,14,25,13.6,16,Non,Non,0,56.0,0.85,36.4,Vent fort,7 places,Oui,Oui,Oui,24601.25,2
2024-02-24,Ankorondrano – Itaosy,17:15,18:07,21,35,13.1,15,Non,Non,0,60.0,0.87,35.1,Vent fort,5 places,Oui,Non,Non,36215.7,4
2024-02-25,Mahamasina – 67Ha,09:00,09:54,19,35,9.8,15,Non,Oui,1,54.3,0.65,26.3,Soleil,9 places,Oui,Non,Oui,7338.71,3
2024-02-26,Ankorondrano – Itaosy,19:45,20:23,33,35,16.5,14,Non,Non,0,94.3,1.18,44.2,Brouillard,9 places,Non,Non,Oui,19633.55,5
2024-02-27,Analakely – Ankatso,16:15,16:46,13,40,13.0,10,Oui,Non,1,32.5,1.3,34.8,Orage,12 places,Non,Non,Oui,29012.11,4
2024-02-28,Ankorondrano – Itaosy,17:15,18:25,22,30,10.3,15,Non,Non,1,73.3,0.69,27.6,Pluie,5 places,Non,Non,Oui,6421.38,4
2024-02-29,Ambohijatovo – Anosizato,20:15,21:41,9,30,17.1,10,Non,Oui,3,30.0,1.71,45.8,Soleil,5 places,Oui,Non,Oui,37364.08,1
2024-03-01,Andavamamba – Ivato,17:00,17:48,15,25,13.2,18,Non,Oui,4,60.0,0.73,35.4,Vent fort,7 places,Non,Non,Non,19227.02,5
2024-03-02,Andavamamba – Ivato,14:00,15:01,7,40,15.8,20,Non,Non,1,17.5,0.79,42.3,Brouillard,7 places,Non,Non,Oui,35850.44,4
2024-03-03,Analakely – Ankatso,09:00,10:24,9,35,17.3,17,Non,Non,1,25.7,1.02,46.4,Pluie,7 places,Non,Non,Non,41802.54,4
2024-03-04,Mahamasina – 67Ha,10:30,11:18,15,30,8.5,17,Oui,Oui,5,50.0,0.5,22.8,Soleil,5 places,Oui,Oui,Oui,30539.34,3
2024-03-05,Andavamamba – Ivato,14:00,15:03,16,25,16.8,14,Non,Non,1,64.0,1.2,45.0,Orage,12 places,Non,Non,Oui,23977.44,3
2024-03-06,Andavamamba – Ivato,15:45,16:26,14,35,15.5,13,Non,Oui,5,40.0,1.19,41.5,Pluie,5 places,Oui,Oui,Oui,48623.55,3
2024-03-07,Andavamamba – Ivato,09:00,10:07,17,25,12.8,14,Non,Oui,4,68.0,0.91,34.3,Brouillard,9 places,Non,Non,Non,5995.56,4
2024-03-08,Ankorondrano – Itaosy,08:00,08:34,26,40,9.4,15,Non,Non,0,65.0,0.63,25.2,Brouillard,7 places,Non,Non,Non,20974.83,2
2024-03-09,Ambohijatovo – Anosizato,12:15,13:07,31,40,14.2,12,Oui,Non,3,77.5,1.18,38.1,Vent fort,9 places,Oui,Non,Non,36050.22,2
2024-03-10,Mahamasina – 67Ha,09:00,10:00,17,30,11.6,16,Oui,Non,0,56.7,0.72,31.1,Brouillard,7 places,Oui,Oui,Oui,24068.22,4
2024-03-11,Ankorondrano – Itaosy,16:30,17:06,17,25,17.0,20,Oui,Non,1,68.0,0.85,45.6,Brouillard,12 places,Oui,Non,Oui,8673.35,4
2024-03-12,Mahamasina – 67Ha,07:45,09:01,20,30,11.3,13,Oui,Oui,5,66.7,0.87,30.3,Pluie,5 places,Oui,Non,Non,20356.15,4
2024-03-13,Ankorondrano – Itaosy,14:00,14:37,8,30,13.2,17,Oui,Oui,4,26.7,0.78,35.4,Orage,5 places,Non,Non,Oui,12358.57,4
2024-03-01,Andavamamba – Ivato,12:00,12:41,27,35,16.8,20,Non,Oui,5,77.1,0.84,45.0,Vent fort,12 places,Oui,Oui,Non,15689.49,2
2024-03-02,Andavamamba – Ivato,14:15,15:37,9,35,10.8,19,Non,Non,0,25.7,0.57,28.9,Vent fort,7 places,Non,Oui,Oui,23887.73,5
2024-03-03,Analakely – Ankatso,11:30,12:17,9,40,8.1,12,Non,Oui,4,22.5,0.67,21.7,Brouillard,12 places,Non,Oui,Non,17313.2,5
2024-03-04,Andavamamba – Ivato,07:30,08:23,14,35,10.1,14,Non,Non,0,40.0,0.72,27.1,Vent fort,5 places,Oui,Non,Oui,6953.56,5
2024-03-05,Ankorondrano – Itaosy,18:45,19:50,22,35,10.4,19,Non,Non,1,62.9,0.55,27.9,Soleil,9 places,Non,Non,Oui,26668.51,1
2024-03-06,Analakely – Ankatso,09:30,10:47,31,35,12.1,20,Non,Non,1,88.6,0.6,32.4,Brouillard,7 places,Oui,Oui,Non,8293.82,1
2024-03-07,Mahamasina – 67Ha,13:30,14:46,18,25,8.3,20,Non,Oui,4,72.0,0.42,22.2,Pluie,7 places,Oui,Non,Non,33733.67,3
2024-03-08,Analakely – Ankatso,11:00,12:10,31,40,11.4,13,Non,Non,1,77.5,0.88,30.6,Vent fort,7 places,Non,Non,Oui,27121.75,4
2024-03-09,Analakely – Ankatso,08:30,09:30,8,30,9.3,10,Non,Non,0,26.7,0.93,24.9,Pluie,12 places,Non,Non,Oui,28358.68,5
2024-03-10,Mahamasina – 67Ha,11:45,12:52,20,35,16.2,20,Non,Non,1,57.1,0.81,43.4,Brouillard,9 places,Non,Non,Non,7706.41,5
2024-03-11,Mahamasina – 67Ha,06:00,07:11,15,25,8.0,12,Oui,Non,1,60.0,0.67,21.4,Soleil,9 places,Oui,Non,Non,34921.03,4
2024-03-12,Andavamamba – Ivato,15:45,16:39,16,35,13.7,19,Non,Non,0,45.7,0.72,36.7,Soleil,7 places,Oui,Oui,Non,32761.71,4
2024-03-13,Mahamasina – 67Ha,09:15,10:31,7,30,15.0,17,Non,Oui,3,23.3,0.88,40.2,Pluie,12 places,Oui,Non,Non,35126.91,2
2024-03-14,Ankorondrano – Itaosy,17:30,18:33,7,25,16.3,11,Non,Non,0,28.0,1.48,43.7,Pluie,12 places,Oui,Non,Non,34264.66,5
2024-03-15,Analakely – Ankatso,18:15,19:03,20,40,9.3,18,Oui,Non,3,50.0,0.52,24.9,Vent fort,5 places,Oui,Non,Non,34325.01,1
2024-03-16,Ankorondrano – Itaosy,20:00,21:01,27,35,12.9,14,Non,Oui,4,77.1,0.92,34.6,Pluie,9 places,Oui,Non,Oui,8707.15,4
2024-03-17,Ankorondrano – Itaosy,09:45,10:39,31,40,12.8,20,Non,Non,1,77.5,0.64,34.3,Soleil,9 places,Non,Non,Non,13348.65,1
2024-03-18,Ankorondrano – Itaosy,15:15,16:04,9,35,15.1,19,Non,Non,0,25.7,0.79,40.5,Soleil,5 places,Oui,Non,Non,8030.78,2
2024-03-19,Mahamasina – 67Ha,07:00,07:53,22,35,17.2,17,Non,Non,0,62.9,1.01,46.1,Orage,7 places,Oui,Oui,Oui,31027.41,5
2024-03-20,Andavamamba – Ivato,13:45,14:57,6,35,15.5,16,Non,Non,1,17.1,0.97,41.5,Brouillard,5 places,Oui,Oui,Non,10484.87,4
2024-03-21,Mahamasina – 67Ha,15:30,16:17,19,30,12.4,10,Non,Non,1,63.3,1.24,33.2,Soleil,5 places,Non,Non,Oui,43850.01,3
2024-03-22,Andavamamba – Ivato,09:15,10:12,7,40,15.4,16,Non,Non,1,17.5,0.96,41.3,Soleil,5 places,Non,Oui,Non,28166.78,2
2024-03-23,Ankorondrano – Itaosy,13:15,14:01,11,40,9.8,20,Non,Non,1,27.5,0.49,26.3,Vent fort,5 places,Non,Oui,Oui,23496.28,3
2024-03-24,Ambohijatovo – Anosizato,16:00,16:41,27,40,17.5,20,Non,Non,0,67.5,0.88,46.9,Soleil,12 places,Oui,Non,Oui,36893.51,3
2024-03-25,Ankorondrano – Itaosy,06:45,07:37,23,25,17.7,19,Non,Oui,4,92.0,0.93,47.4,Soleil,5 places,Oui,Oui,Oui,16119.65,1
2024-03-26,Ankorondrano – Itaosy,17:30,18:33,7,25,16.3,11,Non,Non,0,28.0,1.48,43.7,Pluie,12 places,Oui,Non,Non,34264.66,5
2024-03-27,Andavamamba – Ivato,14:30,15:15,16,25,14.3,18,Oui,Oui,1,64.0,0.79,38.3,Soleil,5 places,Oui,Non,Non,7169.54,2
2024-03-28,Ankorondrano – Itaosy,17:30,18:33,7,25,16.3,11,Non,Non,0,28.0,1.48,43.7,Pluie,12 places,Oui,Non,Non,34264.66,5
2024-03-29,Analakely – Ankatso,12:45,14:09,17,30,11.7,19,Non,Non,1,56.7,0.62,31.4,Brouillard,5 places,Non,Non,Non,19562.46,3
2024-03-30,Ambohijatovo – Anosizato,05:30,06:57,7,35,16.9,19,Non,Non,1,20.0,0.89,45.3,Orage,9 places,Oui,Non,Non,44232.96,3
2024-03-31,Andavamamba – Ivato,10:30,11:50,13,30,9.3,12,Non,Oui,1,43.3,0.78,24.9,Soleil,9 places,Oui,Non,Oui,29358.34,1
2024-04-01,Andavamamba – Ivato,09:45,11:06,5,25,9.3,19,Non,Non,0,20.0,0.49,24.9,Soleil,7 places,Oui,Oui,Non,28983.1,3
2024-04-02,Mahamasina – 67Ha,05:00,05:32,17,35,14.2,14,Non,Oui,3,48.6,1.01,38.1,Brouillard,5 places,Oui,Non,Non,47998.57,5
2024-04-03,Ankorondrano – Itaosy,13:45,14:22,9,30,8.1,12,Non,Non,1,30.0,0.67,21.7,Brouillard,9 places,Oui,Non,Non,34136.36,4
2024-04-04,Mahamasina – 67Ha,16:30,17:14,25,30,17.1,18,Non,Non,0,83.3,0.95,45.8,Soleil,7 places,Oui,Oui,Non,48599.5,5
2024-04-05,Analakely – Ankatso,13:30,14:16,12,35,11.8,12,Oui,Non,4,34.3,0.98,31.6,Orage,7 places,Non,Oui,Oui,35748.29,1
2024-04-06,Andavamamba – Ivato,15:45,16:26,14,35,15.5,13,Non,Oui,5,40.0,1.19,41.5,Pluie,5 places,Oui,Oui,Oui,48623.55,3
2024-04-07,Mahamasina – 67Ha,14:30,15:17,17,30,13.0,20,Non,Non,0,56.7,0.65,34.8,Orage,12 places,Non,Oui,Oui,30184.19,5
2024-04-08,Mahamasina – 67Ha,17:00,17:52,15,40,11.2,17,Non,Non,0,37.5,0.66,30.0,Brouillard,7 places,Non,Non,Non,12536.72,2
2024-04-09,Ankorondrano – Itaosy,13:30,14:01,31,35,9.5,17,Non,Non,1,88.6,0.56,25.5,Brouillard,12 places,Non,Oui,Oui,20384.25,3
2024-04-10,Andavamamba – Ivato,09:45,10:57,24,25,16.6,14,Non,Non,0,96.0,1.19,44.5,Vent fort,9 places,Oui,Oui,Non,28357.69,1
2024-04-11,Ambohijatovo – Anosizato,15:15,16:19,35,40,9.1,10,Oui,Non,0,87.5,0.91,24.4,Pluie,9 places,Oui,Non,Non,32877.07,1
2024-04-01,Mahamasina – 67Ha,16:45,17:32,6,25,13.8,14,Non,Oui,1,24.0,0.99,37.0,Pluie,5 places,Non,Non,Oui,24268.98,2
2024-04-02,Analakely – Ankatso,14:30,16:00,7,25,10.7,20,Non,Non,1,28.0,0.53,28.7,Soleil,12 places,Oui,Non,Oui,22969.22,1
2024-04-03,Mahamasina – 67Ha,16:45,17:32,6,25,13.8,14,Non,Oui,1,24.0,0.99,37.0,Pluie,5 places,Non,Non,Oui,24268.98,2
2024-04-04,Ankorondrano – Itaosy,19:00,20:07,26,30,15.4,14,Non,Oui,4,86.7,1.1,41.3,Brouillard,9 places,Non,Non,Oui,7712.03,1
2024-04-05,Mahamasina – 67Ha,09:15,10:31,7,30,15.0,17,Non,Oui,3,23.3,0.88,40.2,Pluie,12 places,Oui,Non,Non,35126.91,2
2024-04-06,Analakely – Ankatso,15:45,17:08,24,25,16.9,12,Non,Non,0,96.0,1.41,45.3,Brouillard,12 places,Oui,Non,Non,27449.97,2
2024-04-07,Ankorondrano – Itaosy,19:15,20:25,28,40,13.7,17,Non,Non,1,70.0,0.81,36.7,Pluie,9 places,Oui,Non,Oui,10409.41,5
2024-04-08,Ankorondrano – Itaosy,05:00,06:11,13,25,17.3,17,Non,Non,0,52.0,1.02,46.4,Pluie,9 places,Oui,Oui,Oui,10889.31,2
2024-04-09,Ankorondrano – Itaosy,09:45,10:39,31,40,12.8,20,Non,Non,1,77.5,0.64,34.3,Soleil,9 places,Non,Non,Non,13348.65,1
2024-04-10,Andavamamba – Ivato,07:00,08:09,25,30,15.8,13,Non,Oui,2,83.3,1.22,42.3,Vent fort,7 places,Oui,Non,Non,17337.23,4
2024-04-11,Analakely – Ankatso,11:45,12:36,17,35,11.1,15,Non,Non,1,48.6,0.74,29.7,Pluie,12 places,Non,Non,Non,12363.07,4
2024-04-12,Analakely – Ankatso,13:00,14:22,16,25,10.7,18,Non,Non,0,64.0,0.59,28.7,Pluie,7 places,Oui,Oui,Oui,40844.18,4
2024-04-13,Ankorondrano – Itaosy,06:30,07:22,30,40,17.0,17,Non,Non,0,75.0,1.0,45.6,Pluie,12 places,Non,Non,Oui,31682.79,5
2024-04-14,Ankorondrano – Itaosy,11:45,12:49,14,30,11.6,15,Non,Non,0,46.7,0.77,31.1,Soleil,5 places,Non,Non,Non,35039.75,1
2024-04-15,Andavamamba – Ivato,12:45,14:12,14,25,13.6,16,Non,Non,0,56.0,0.85,36.4,Vent fort,7 places,Oui,Oui,Oui,24601.25,2
2024-04-16,Mahamasina – 67Ha,20:30,21:32,7,25,11.7,15,Oui,Non,4,28.0,0.78,31.4,Brouillard,12 places,Oui,Non,Oui,6494.14,1
2024-04-17,Ambohijatovo – Anosizato,16:00,17:22,15,35,17.6,20,Non,Oui,2,42.9,0.88,47.2,Pluie,9 places,Oui,Non,Non,44603.56,3
2024-04-18,Andavamamba – Ivato,06:15,07:44,5,25,8.1,20,Non,Non,1,20.0,0.4,21.7,Soleil,5 places,Oui,Non,Non,49661.76,5
2024-04-19,Ambohijatovo – Anosizato,05:30,06:57,7,35,16.9,19,Non,Non,1,20.0,0.89,45.3,Orage,9 places,Oui,Non,Non,44232.96,3
2024-04-20,Ankorondrano – Itaosy,09:15,10:37,23,30,9.4,10,Non,Non,0,76.7,0.94,25.2,Orage,9 places,Oui,Non,Oui,18124.82,2
2024-04-21,Ankorondrano – Itaosy,18:15,19:26,8,35,16.3,20,Non,Non,0,22.9,0.82,43.7,Brouillard,7 places,Non,Non,Non,36168.17,5
2024-04-22,Andavamamba – Ivato,07:45,08:43,10,25,10.6,11,Non,Oui,2,40.0,0.96,28.4,Brouillard,12 places,Oui,Non,Oui,29298.07,2
2024-04-23,Ambohijatovo – Anosizato,16:00,17:13,18,40,16.3,20,Non,Oui,5,45.0,0.82,43.7,Brouillard,9 places,Oui,Non,Non,48334.64,2
2024-04-24,Analakely – Ankatso,20:00,20:50,10,35,12.2,13,Oui,Non,2,28.6,0.94,32.7,Vent fort,12 places,Non,Non,Non,9684.93,2
2024-04-25,Ankorondrano – Itaosy,06:45,07:43,10,25,10.2,11,Non,Oui,0,40.0,0.93,27.3,Soleil,5 places,Oui,Non,Non,11284.31,5
2024-04-26,Andavamamba – Ivato,12:00,13:28,17,25,15.7,18,Non,Non,0,68.0,0.87,42.1,Pluie,12 places,Oui,Non,Oui,48913.94,4
2024-04-27,Ambohijatovo – Anosizato,17:45,19:01,27,30,10.4,11,Non,Non,0,90.0,0.95,27.9,Orage,5 places,Oui,Oui,Non,15199.54,2
2024-04-28,Ankorondrano – Itaosy,15:15,16:04,9,35,15.1,19,Non,Non,0,25.7,0.79,40.5,Soleil,5 places,Oui,Non,Non,8030.78,2
2024-04-29,Mahamasina – 67Ha,10:30,11:22,10,25,16.8,13,Non,Non,1,40.0,1.29,45.0,Soleil,5 places,Non,Non,Oui,10494.95,3
2024-04-30,Andavamamba – Ivato,06:00,07:11,12,25,9.6,13,Non,Oui,2,48.0,0.74,25.7,Soleil,5 places,Non,Non,Oui,38987.17,5
2024-05-01,Ambohijatovo – Anosizato,09:00,10:26,5,25,14.3,17,Oui,Non,0,20.0,0.84,38.3,Orage,12 places,Oui,Non,Oui,11139.79,4
2024-05-02,Ankorondrano – Itaosy,19:15,20:25,28,40,13.7,17,Non,Non,1,70.0,0.81,36.7,Pluie,9 places,Oui,Non,Oui,10409.41,5
2024-05-03,Mahamasina – 67Ha,10:45,11:59,22,25,16.7,20,Non,Oui,4,88.0,0.83,44.8,Vent fort,9 places,Non,Oui,Oui,15622.27,1
2024-05-04,Mahamasina – 67Ha,11:45,13:15,17,40,16.8,13,Non,Non,1,42.5,1.29,45.0,Brouillard,12 places,Non,Oui,Oui,20160.31,5
2024-05-05,Andavamamba – Ivato,16:45,17:38,34,40,8.3,17,Non,Oui,4,85.0,0.49,22.2,Soleil,7 places,Non,Oui,Non,22485.11,5
